ID	Cancer	PAX5	ZCCHC7	Type	Label
SJALL016438_D1	TALL	1.4261	17.3202	WT	TALL-WT
SJALL016439_D1	TALL	0.079	5.2004	WT	TALL-WT
SJALL016440_D1	TALL	0.3035	11.7189	WT	TALL-WT
SJALL016441_D1	TALL	1.2468	8.5486	WT	TALL-WT
SJALL016442_D1	TALL	0.156	7.6628	WT	TALL-WT
SJALL016443_D1	TALL	0.5775	18.1325	WT	TALL-WT
SJALL016444_D1	TALL	0.1741	23.5711	WT	TALL-WT
SJALL016445_D1	TALL	2.4529	14.9436	WT	TALL-WT
SJALL016446_D1	TALL	1.0789	12.7112	WT	TALL-WT
SJALL016630_D1	TALL	0.3944	11.5651	WT	TALL-WT
SJALL016653_D1	TALL	2.8756	12.1976	WT	TALL-WT
SJALL018366_D1	BALL	56.3236	81.2114	WT	BALL-WT
SJALL018367_D1	BALL	43.7003	136.3149	WT	BALL-WT
SJALL018368_D1	BALL	79.042	143.6083	WT	BALL-WT
SJALL018369_D1	BALL	29.243	187.144	Fusion	BALL-Fusion
SJALL018370_D1	BALL	64.6524	127.5364	WT	BALL-WT
SJALL018371_D1	BALL	43.344	80.7176	WT	BALL-WT
SJALL018372_D1	BALL	20.3993	135.2267	WT	BALL-WT
SJALL018373_D1	TALL	0.3262	8.4644	WT	TALL-WT
SJALL018374_D1	BALL	25.7216	202.5838	WT	BALL-WT
SJALL018376_D1	BALL	31.1645	67.0072	WT	BALL-WT
SJALL018380_D1	BALL	44.3988	87.7298	WT	BALL-WT
SJALL018381_D1	BALL	75.71	101.5849	WT	BALL-WT
SJALL018382_D1	BALL	10.6749	23.1994	WT	BALL-WT
SJALL018384_D1	BALL	30.1623	95.3881	WT	BALL-WT
SJALL018385_D1	BALL	48.6211	53.8408	WT	BALL-WT
SJALL018386_D1	BALL	24.3088	86.8331	WT	BALL-WT
SJALL018388_D1	BALL	19.1421	51.121	WT	BALL-WT
SJALL018389_D1	BALL	64.3324	86.0961	WT	BALL-WT
SJALL018390_D1	TALL	1.688	16.0636	WT	TALL-WT
SJALL018391_D1	BALL	51.8033	61.614	WT	BALL-WT
SJALL018392_D1	BALL	31.2044	78.4954	WT	BALL-WT
SJALL018393_D1	BALL	23.9843	69.7986	WT	BALL-WT
SJALL018394_D1	BALL	34.1465	24.5792	WT	BALL-WT
SJALL018395_D1	BALL	43.2218	107.2741	WT	BALL-WT
SJALL018396_D1	BALL	68.3519	184.7308	WT	BALL-WT
SJALL018397_D1	BALL	20.9239	86.686	WT	BALL-WT
SJALL040461_D1	BALL	37.0983	126.4602	WT	BALL-WT
SJALL040462_D1	BALL	118.6166	156.7104	WT	BALL-WT
SJALL040466_D1	TALL	0.2064	8.8612	WT	TALL-WT
SJALL040467_D1	TALL	0.4821	16.0064	WT	TALL-WT
SJALL040468_D1	TALL	0.201	7.2799	WT	TALL-WT
SJALL040470_D1	BALL	25.2325	143.2588	WT	BALL-WT
SJALL040472_D1	TALL	4.6483	17.3199	WT	TALL-WT
SJALL040481_D1	BALL	58.7821	193.1983	WT	BALL-WT
SJALL043544_D1	BALL	42.7963	180.9815	WT	BALL-WT
SJALL043547_D1	BALL	112.0543	129.6653	WT	BALL-WT
SJALL043548_D1	BALL	24.6355	52.6011	WT	BALL-WT
SJALL043549_D1	BALL	40.6586	70.5048	WT	BALL-WT
