Sample	Cancer	PAX5	ZCCHC7	Type
SJBALL021280_D2	BALL	158.638	201.6939	WT
SJBALL021281_D2	BALL	87.4325	31.8418	WT
SJBALL021283_D2	BALL	77.7584	52.8225	WT
SJBALL021284_D2	BALL	25.3378	24.269	WT
SJBALL021299_D1	BALL	41.417	50.0105	WT
SJBALL021305_D1	BALL	27.5644	84.0297	WT
SJBALL021324_D1	BALL	54.4554	110.367	WT
SJBALL021327_D1	BALL	52.6689	81.4004	WT
SJBALL021329_D1	BALL	35.9831	60.2143	WT
SJBALL021333_D1	BALL	150.442	89.991	WT
SJBALL021336_D1	BALL	43.2053	25.0085	WT
SJBALL021358_D1	BALL	42.3936	95.0478	WT
SJBALL021372_D1	BALL	68.9416	163.965	WT
SJBALL021405_D1	BALL	112.917	89.0032	WT
SJBALL021411_D1	BALL	44.6941	49.5452	WT
SJBALL021413_D1	BALL	14.7897	21.7996	WT
SJBALL021416_D1	BALL	12.9993	6.31641	WT
SJBALL021427_D1	BALL	59.85	71.236	WT
SJBALL021434_D1	BALL	2.87874	5.93687	WT
SJBALL021486_D1	BALL	49.9508	61.4657	WT
SJBALL021489_D1	BALL	95.9086	40.0919	WT
SJBALL021491_D1	BALL	71.5201	74.6371	WT
SJBALL021492_D1	BALL	58.8643	48.6115	WT
SJBALL021511_D1	BALL	47.7831	29.1909	WT
SJBALL021512_D1	BALL	71.1027	46.9306	WT
SJBALL021514_D1	BALL	56.4776	45.8541	WT
SJBALL021516_D1	BALL	37.4482	40.8317	WT
SJBALL021517_D1	BALL	16.551	64.035	WT
SJBALL021521_D1	BALL	15.3219	44.5061	WT
SJBALL021525_D2	BALL	77.6315	55.8193	WT
SJBALL021530_D1	BALL	21.5369	31.5092	WT
SJBALL021549_D1	BALL	31.0519	25.7491	WT
SJBALL021554_D2	BALL	15.4949	40.8783	WT
SJBALL021644_D1	BALL	64.2504	51.1951	WT
SJBALL021707_D1	BALL	28.6658	20.2624	WT
SJBALL021720_D1	BALL	0.86838	7.15056	WT
SJBALL021721_D1	BALL	1.46224	8.05632	WT
SJBALL021722_D1	BALL	1.75485	8.80045	WT
SJBALL021728_D1	BALL	47.4629	23.271	WT
SJBALL021735_D1	BALL	200.532	91.5122	WT
SJBALL021737_D1	BALL	15.3934	30.7327	WT
SJBALL021738_D1	BALL	1.35872	3.84961	WT
SJBALL021748_D1	BALL	137.175	127.654	WT
SJBALL021769_D1	BALL	20.3319	41.1022	WT
SJBALL021772_D1	BALL	72.9829	45.0737	WT
SJBALL021778_D1	BALL	32.8372	29.2626	WT
SJBALL021780_D1	BALL	39.1417	95.9086	WT
SJBALL021784_D1	BALL	28.5477	32.0865	WT
SJBALL021786_D1	BALL	41.8147	113.36	WT
SJBALL021787_D1	BALL	0.390603	4.2739	WT
SJBALL021790_D1	BALL	66.0884	91.5122	WT
SJBALL021794_D1	BALL	2.9334	5.92462	WT
SJBALL021800_D1	BALL	46.0048	29.8421	WT
SJBALL021803_D1	BALL	36.987	63.9261	WT
SJBALL021807_D1	BALL	60.2143	29.4615	WT
SJBALL021813_D1	BALL	24.6926	53.0106	WT
SJBALL021814_D1	BALL	68.8153	61.5649	WT
SJBALL021816_D1	BALL	40.9079	33.9637	WT
SJBALL021820_D1	BALL	29.3886	20.9525	WT
SJBALL021832_D1	BALL	25.6263	19.5086	WT
SJBALL021841_D1	BALL	66.2078	8.93326	WT
SJBALL021849_D1	MLL	0.872946	4.9602	WT
SJBALL021856_D1	BALL	31.5499	36.8369	WT
SJBALL021866_D1	BALL	56.1601	34.0136	WT
SJBALL021900_D1	BALL	50.6802	95.0478	WT
SJBALL022244_D1	BALL	53.3632	15.5985	WT
SJBALL022245_D1	BALL	43.8273	58.0668	WT
SJBALL022246_D1	BALL	16.1464	38.6349	WT
SJBALL022486_D1	BALL	38.0463	35.0494	WT
SJBALL022489_D1	BALL	58.503	76.4353	WT
