geneName,rowMean,rowSD,AnovaP_genetic,FDR_genetic,Rank_genetic,AnovaP_OPP,FDR_OPP,Rank_OPP,Rank_genetic_GSEA,Rank_OPP_GSEA
STK11IP,13.8206974138965,0.406497656087199,0.39626429752319,0.529727598146565,0.275947400274638,0.0248476679285765,0.0526041312783053,-1.2789801470836,0.40201505480976,-1.60471436561385
YRDC,12.2579507666247,0.292690189071414,0.80296426525519,0.866755877753395,-0.0621032045695059,0.41799774422857,0.518559520376313,-0.285201387997335,-0.0953037819290554,-0.378826061937233
CYCS,12.5152304624834,0.181414699040479,0.0372821735295615,0.0921468928045369,1.03551930461848,0.636508110919688,0.717381096704743,0.144250071352528,1.42849877645812,0.196196057830876
GEMIN7,11.4177171397957,0.287674919218488,0.126007564072405,0.232155406580863,0.634221197757475,0.000218563758827855,0.00116809933958362,2.93252022160851,0.899603383959373,3.66042184900076
SPAST,14.7208395154096,0.119839233046657,0.406203961040292,0.538529567347171,-0.268790447271838,0.0317174813248918,0.0639831045108579,1.19393469142877,-0.391255845949543,1.49870130717193
FGFR1OP2,11.9139937865458,0.143874049494097,0.315641868707574,0.451695914650906,0.345153837383241,0.105562817721405,0.170066070206128,0.76938232361313,0.500805394110798,0.976489025949852
SIRT1,11.8035483009718,0.198664099750366,0.540767685185121,0.662443180590278,-0.17885136631848,0.00223928821553913,0.00734417897510151,2.13405674807154,-0.266989268555139,2.64989000541041
GMEB2,11.9793468149082,0.15402539806423,0.0155586301175819,0.0499432026774378,1.3015236113531,0.957479001938856,0.97128424925103,-0.0126536539068783,1.80802864375797,-0.0188707415808343
ALG9,11.3205487458425,0.22918790283893,0.63574057341358,0.739919628873568,0.130815451393816,0.0166280064608865,0.0377715352424207,1.42283536270328,0.196720070703676,1.77915981541872
MGAT1,11.628362949314,0.0995662917407206,0.614145191971336,0.724282366467229,0.140092088096539,0.401398162401885,0.502579464187246,0.29879526101278,0.211728943813654,0.396424620041229
BTAF1,12.2522698242524,0.172006163215721,0.13959566722507,0.250861912829936,-0.6005652705443,0.822115132736878,0.871841501613187,0.0595624614337275,-0.855128061150146,0.0850673576291351
CIB1,11.6971966845572,0.533007411835722,0.160101785609599,0.277363949924207,0.55694998654465,0.000171362308711831,0.000978995347657357,3.00921937202887,0.795603824382566,3.76608469535644
COMMD9,11.8175336467311,0.10440501343614,0.0832083946077499,0.169653955817945,0.770436009464925,0.0704791479770076,0.122663810237177,0.911283549192957,1.07983285702761,1.15193935475379
CCDC88C,11.5621865825073,0.231294866739919,0.271214755955621,0.406290242577049,-0.391163607518111,0.0447895830934298,0.0844800950304279,1.07324560627845,-0.566686685543297,1.34882297999929
RIDA,13.7462372344269,0.123592162897805,0.745074696174136,0.826501865993599,0.0827561615845986,0.0887887252815705,0.147866048328841,-0.830131533346691,0.127800185627442,-1.05164217902857
KIF13B,12.6727785596175,0.311887304551568,0.0163631248766894,0.0516857376178825,-1.28662928143958,0.00569842319843651,0.0156174501318943,1.80638987212615,-1.78613375524233,2.24424530063519
NFATC1,11.78455947062,0.237781108869281,0.26725148132517,0.403351045573339,0.394316812934125,0.739998316772764,0.804196224067904,-0.0946379703655662,0.573079878899112,-0.130769268130013
MYDGF,13.7556284435217,0.301106734759225,0.0508097459424647,0.116291824937834,-0.934450814155277,0.81441096448867,0.867084310450624,0.0619386720932612,-1.29405297663195,0.0891563880219632
ZFP91,11.3025264369773,0.22113537897302,0.00371095935615764,0.0170022187807544,1.76949439971817,0.757448104874047,0.819000729817496,-0.0867157112364432,2.43051380218399,-0.120647116672374
MRPL18,12.4735536444643,0.398436014621175,0.250836349589561,0.385173819264057,-0.414343240071815,0.000690535636792883,0.00291660446592784,2.53512246354616,-0.600609528119324,3.16081390367024
GHITM,12.8191806515488,0.150191270697408,0.00274396924765588,0.0135509865922698,1.868029084422,0.000184654103093406,0.00103801357741102,2.98379696579766,2.56162076018402,3.73364103769604
