V1	Distance	Burden.avg	Burden.sd	V1	Distance	Burden.avg	Burden.sd
FL	15000	0.0237518361338311	0.0138697406200076	DHL	15000	0.0327835931658747	0.0117613529501762
FL	15200	0.027488095026176	0.0144748655828623	DHL	15200	0.0309421959750389	0.0143587372588921
FL	15400	0.0287820936553366	0.0148335889683528	DHL	15400	0.0296276056445498	0.0133930490163673
FL	15600	0.0278357987103476	0.0153044173251391	DHL	15600	0.0306223367010935	0.0164310501704645
FL	15800	0.0275776894369685	0.0158092691772016	DHL	15800	0.0300896400863632	0.0131740979550172
FL	16000	0.0291627115056874	0.0162447988669508	DHL	16000	0.0344004832451963	0.0150214996484802
FL	16200	0.0259821156059349	0.0134393129424443	DHL	16200	0.0332911527424299	0.0140981058161093
FL	16400	0.0241686187610221	0.0124836905936804	DHL	16400	0.0308692587550977	0.0100402009259274
FL	16600	0.0251207937966814	0.0135199526231485	DHL	16600	0.0302504371283437	0.00914315154855084
FL	16800	0.0233840042868824	0.0110151606715417	DHL	16800	0.0267823521076752	0.0113942301747646
FL	17000	0.0258475690109399	0.0142147183598359	DHL	17000	0.0260244925940974	0.0141860639037321
FL	17200	0.0232911594482181	0.0127438129387557	DHL	17200	0.0251501094704622	0.0159419927995757
FL	17400	0.0242785123430341	0.0125545521023117	DHL	17400	0.0287663908720351	0.0112728879859145
FL	17600	0.0262299336336007	0.0140982435154328	DHL	17600	0.0255171392700176	0.0117431012938862
FL	17800	0.025792113426691	0.0127466854039205	DHL	17800	0.0254182690538205	0.0120707779666952
FL	18000	0.0263497720390072	0.0145229618608048	DHL	18000	0.022903620706077	0.00765651750687886
FL	18200	0.0301645707807671	0.0163108747280755	DHL	18200	0.0217638290068997	0.00918005323718184
FL	18400	0.0273245477846222	0.0141377316082879	DHL	18400	0.0223283900825146	0.00864235398575824
FL	18600	0.0290943683572351	0.0163519199814193	DHL	18600	0.0236692381403363	0.00803275022685919
FL	18800	0.0277564831857527	0.0150306760243923	DHL	18800	0.021548263023382	0.00630663886749825
FL	19000	0.0285519888177909	0.0159205114718822	DHL	19000	0.0213120406012541	0.0069928929946082
FL	19200	0.028351610476542	0.0186387020059368	DHL	19200	0.0233482271672942	0.00852683899746788
FL	19400	0.0330985396480235	0.0161355041287516	DHL	19400	0.0230559004661271	0.00848273205532421
FL	19600	0.0309937502436502	0.0187793108990684	DHL	19600	0.0219954458084235	0.00804447757100439
FL	19800	0.0315600586363466	0.0209173914097457	DHL	19800	0.0220125293802426	0.00591101707262433
FL	20000	0.0338309746467483	0.0203894390847968	DHL	20000	0.0205910027007701	0.00589406422405768
FL	20200	0.0311455752971136	0.0180612987067472	DHL	20200	0.0220402922365309	0.00753594086420547
FL	20400	0.0284765974475113	0.0162899286042995	DHL	20400	0.0231183249608587	0.00795696884288465
FL	20600	0.0298031373213145	0.0162301072472402	DHL	20600	0.0235178765903792	0.00577425246045533
FL	20800	0.0271578336462387	0.0184438964817732	DHL	20800	0.0286203037638526	0.0126801771970203
FL	21000	0.0267497030102837	0.0201149873178815	DHL	21000	0.0297367968269942	0.0170390759368086
FL	21200	0.0261808257637886	0.0216666526333839	DHL	21200	0.0255180322087468	0.0125155772683951
FL	21400	0.026038017668419	0.0232705548240765	DHL	21400	0.0238227790745294	0.0154790224484125
FL	21600	0.025501086523474	0.0228560455756966	DHL	21600	0.022208095774718	0.0126388110884332
FL	21800	0.0238563886125289	0.0217625457925578	DHL	21800	0.0220820780692061	0.0055235265255584
FL	22000	0.0279075839784942	0.0189440979180213	DHL	22000	0.0202863651358088	0.00494766072608027
FL	22200	0.025780891668576	0.0185602964625713	DHL	22200	0.0236251998497912	0.0100115415867581
FL	22400	0.0258723016583254	0.0174825455547856	DHL	22400	0.0265702145665016	0.0131918945684843
FL	22600	0.0255173357355779	0.0159771981967395	DHL	22600	0.0276331041372538	0.0150594908996327
FL	22800	0.0245944144051763	0.0162851869318142	DHL	22800	0.0265336936180408	0.0160487261788189
FL	23000	0.0245525052688097	0.0161242217486761	DHL	23000	0.0252776623281407	0.0124343630390446
FL	23200	0.0272070468133175	0.0155690320593391	DHL	23200	0.0318651103617299	0.014827957186761
FL	23400	0.0296316691955315	0.0182518458563922	DHL	23400	0.0277259056580584	0.0104796761551813
FL	23600	0.0296769067899858	0.0164007639056858	DHL	23600	0.0277163575539771	0.00962298523954484
FL	23800	0.0314864297242287	0.017917026102787	DHL	23800	0.0300244183020596	0.011521835872482
FL	24000	0.0303829755266783	0.0184792346430141	DHL	24000	0.0296107978438639	0.0119042317029951
FL	24200	0.0273171077922861	0.0175189629710222	DHL	24200	0.0294383649739387	0.0137359159211299
FL	24400	0.0284775168185501	0.0175098426518035	DHL	24400	0.0282972144854741	0.0124980500369488
FL	24600	0.0262029454849558	0.0173801952247515	DHL	24600	0.0279810080959312	0.014720334513095
FL	24800	0.0295631960798095	0.0179776667511307	DHL	24800	0.0230571301165777	0.010695830092001
FL	25000	0.0305826032923425	0.0124435414167765	DHL	25000	0.0264066106377276	0.0143610273543135
FL	25200	0.0288001326328862	0.0102627115305587	DHL	25200	0.0267304691287604	0.0143861175888116
FL	25400	0.0265909546783063	0.0126131392033605	DHL	25400	0.0301703489564423	0.0171325304394657
FL	25600	0.0294987095991301	0.0123942786008615	DHL	25600	0.0247443433597673	0.0117939013195241
FL	25800	0.0320739063226825	0.0160255465424634	DHL	25800	0.0196489232314211	0.00828001943438303
FL	26000	0.0334178892151289	0.0155695378568092	DHL	26000	0.0184037074337044	0.00781967835755328
FL	26200	0.0357026871554896	0.0146484881602094	DHL	26200	0.021484386680959	0.00811655551936765
FL	26400	0.0422133103249731	0.0199402648853949	DHL	26400	0.0205746610540826	0.00706320072142394
FL	26600	0.0439423082941962	0.0224747595330817	DHL	26600	0.0223060755203049	0.00768576338495004
FL	26800	0.0440028286508241	0.0234855590924528	DHL	26800	0.0239636272537135	0.00914100451383225
FL	27000	0.0410407002247829	0.0153330695145873	DHL	27000	0.0257072075162647	0.0111722810384392
FL	27200	0.0392984424133956	0.0154862522716405	DHL	27200	0.025248220179063	0.00762477522512629
FL	27400	0.0395762219114576	0.014817356999642	DHL	27400	0.0273892333026258	0.00980604897382522
FL	27600	0.0397689212462434	0.0157253912380436	DHL	27600	0.0236515279790757	0.00627131580650886
FL	27800	0.0390201701679254	0.0139178468464347	DHL	27800	0.0201783149052321	0.00515835337020353
FL	28000	0.0407625215984648	0.0178123925052912	DHL	28000	0.0202069345775559	0.00434890495315618
FL	28200	0.0319189630463249	0.0109384414570919	DHL	28200	0.0223889558999613	0.00669545387952283
FL	28400	0.0312711020486253	0.00984054826344716	DHL	28400	0.0214931077064709	0.00559721232082594
FL	28600	0.0350482295392987	0.00613196696341366	DHL	28600	0.0246561425353488	0.00456646102405889
FL	28800	0.0373870736016869	0.00831144720152569	DHL	28800	0.0273443675042967	0.00831402686072191
FL	29000	0.0367736430257202	0.00874375539291265	DHL	29000	0.0291812508544819	0.0107137078467995
