Sample	 Source	 Position	 Absorbance	 Fraction.Number
466832	74726	23.41	0.117887	-100
466908	74735	23.45	0.117801	-100
467281	74745	23.49	0.11644	-100
467671	74789	23.52	0.115938	-100
467480	74797	23.56	0.116992	-100
467497	74776	23.6	0.116343	-100
466683	74753	23.64	0.11928	-100
466720	74774	23.68	0.119692	-100
466038	74770	23.72	0.122575	-100
464987	74765	23.76	0.127057	-100
463550	74731	23.8	0.13246	-100
461690	74727	23.84	0.140577	-100
459500	74738	23.88	0.150607	-100
456795	74760	23.92	0.16329	-100
453257	74744	23.95	0.178761	-100
449592	74773	23.99	0.196167	-100
444488	74756	24.03	0.219063	-100
438814	74752	24.07	0.245241	-100
432510	74778	24.11	0.27556	-100
425582	74786	24.15	0.308819	-100
417575	74766	24.19	0.347134	-100
408569	74745	24.23	0.391171	-100
398387	74757	24.27	0.443137	-100
388732	74773	24.31	0.493774	-100
378640	74755	24.35	0.547103	-100
368042	74736	24.38	0.604669	-100
356949	74762	24.42	0.668	-100
344700	74756	24.46	0.739283	-100
333420	74782	24.5	0.808072	-100
322525	74772	24.54	0.875775	-100
311893	74776	24.58	0.944471	-100
301101	74740	24.62	1.015538	-100
290891	74752	24.66	1.086451	-100
282422	74746	24.7	1.146742	-100
273515	74741	24.74	1.212174	-100
264371	74753	24.77	1.282077	-100
256699	74784	24.81	1.343181	-100
248828	74805	24.86	1.407477	-100
242458	74777	24.9	1.459773	-100
236691	74755	24.93	1.508427	-100
229663	74755	24.97	1.570102	-100
223492	74758	25.01	1.625915	-100
218839	74738	25.05	1.668416	-100
214501	74726	25.09	1.709054	-100
210051	74729	25.13	1.752031	-100
205701	74766	25.17	1.795862	-100
201589	74736	25.21	1.836358	-100
198607	74748	25.25	1.867179	-100
196366	74777	25.29	1.891192	-100
193937	74751	25.33	1.915948	-100
190819	74748	25.37	1.949029	-100
188242	74743	25.4	1.976713	-100
186737	74735	25.44	1.992918	-100
185447	74704	25.48	2.006253	-100
183567	74730	25.52	2.027814	-100
181779	74759	25.56	2.048635	-100
180620	74761	25.6	2.061777	-100
180352	74785	25.64	2.065472	-100
179963	74760	25.68	2.069206	-100
179086	74740	25.72	2.078654	-100
178270	74736	25.76	2.087889	-100
177874	74757	25.8	2.093014	-100
177876	74752	25.83	2.092854	-100
178288	74716	25.87	2.087135	-100
178473	74753	25.91	2.086026	-100
178422	74752	25.95	2.086583	-100
178712	74740	25.99	2.082932	-100
179415	74741	26.03	2.074926	-100
180312	74733	26.07	2.064503	-100
181543	74759	26.11	2.051293	4
182041	74731	26.15	2.044922	-100
183250	74704	26.19	2.030638	-100
184533	74754	26.23	2.017732	-100
185769	74749	26.27	2.003936	-100
187372	74804	26.31	1.987861	-100
188636	74776	26.34	1.973338	-100
190260	74786	26.38	1.956072	-100
191834	74741	26.42	1.937983	-100
193545	74760	26.46	1.920334	-100
195493	74743	26.5	1.899378	-100
197627	74782	26.54	1.878231	-100
199494	74756	26.58	1.85828	-100
201316	74772	26.62	1.840116	-100
203444	74787	26.66	1.819011	-100
205734	74741	26.69	1.79485	-100
207958	74740	26.74	1.772822	-100
210247	74793	26.77	1.751874	-100
212510	74778	26.81	1.729558	-100
214859	74755	26.85	1.706436	-100
217710	74777	26.89	1.680067	-100
220418	74764	26.93	1.654417	-100
222983	74723	26.97	1.629622	-100
225712	74776	27.01	1.606183	-100
228294	74796	27.05	1.583457	-100
231051	74791	27.09	1.558758	-100
234209	74778	27.13	1.530626	-100
236918	74770	27.17	1.506876	-100
239674	74788	27.21	1.483704	-100
242035	74779	27.25	1.463401	-100
244991	74759	27.29	1.438015	-100
248396	74766	27.32	1.409965	-100
251441	74777	27.36	1.385336	-100
254122	74777	27.4	1.363635	-100
256827	74763	27.44	1.341587	-100
260321	74743	27.48	1.313391	-100
263366	74740	27.52	1.289514	-100
265845	74743	27.56	1.270427	-100
269661	74768	27.6	1.241949	-100
272356	74767	27.64	1.221575	-100
275899	74800	27.68	1.196032	-100
279476	74906	27.73	1.172572	-100
281107	74786	27.77	1.157386	-100
283937	74785	27.81	1.136862	-100
287595	74775	27.84	1.110397	-100
290268	74740	27.89	1.09051	-100
292831	74741	27.92	1.07255	-100
295866	74790	27.96	1.052793	-100
298186	74773	28	1.036346	-100
301252	74765	28.04	1.015196	-100
303619	74757	28.08	0.998963	-100
306255	74768	28.12	0.981577	-100
308446	74770	28.16	0.967046	-100
311105	74769	28.2	0.949455	-100
314271	74777	28.23	0.928957	-100
316192	74798	28.27	0.917062	-100
318238	74814	28.31	0.904303	-100
320698	74777	28.35	0.887535	-100
323235	74794	28.39	0.871877	-100
326079	74760	28.43	0.853023	-100
327820	74761	28.47	0.842155	-100
329640	74777	28.51	0.831264	-100
331932	74771	28.55	0.816923	-100
334388	74788	28.59	0.802304	-100
337328	74775	28.63	0.784037	-100
339235	74801	28.67	0.773214	-100
340352	74786	28.71	0.766078	-100
343086	74820	28.75	0.750637	-100
345459	74782	28.78	0.735494	-100
348016	74749	28.82	0.719502	-100
350337	74778	28.86	0.706695	-100
351928	74765	28.9	0.697068	-100
353490	74798	28.94	0.68891	-100
356197	74806	28.98	0.673519	-100
358522	74811	29.02	0.660344	-100
360491	74774	29.06	0.648125	-100
361607	74758	29.1	0.641363	-100
363246	74756	29.14	0.632055	-100
366051	74760	29.18	0.616425	-100
367830	74767	29.22	0.606697	-100
370183	74767	29.25	0.59365	-100
371795	74778	29.29	0.58506	-100
372571	74752	29.33	0.580082	-100
375752	74772	29.37	0.563234	-100
377616	74761	29.41	0.552808	-100
379126	74735	29.45	0.543931	-100
380607	74758	29.49	0.536583	-100
382169	74782	29.53	0.52886	-100
384433	74764	29.57	0.516282	-100
386345	74752	29.61	0.505802	-100
387916	74779	29.65	0.498238	-100
389241	74761	29.68	0.490768	-100
390446	74786	29.72	0.485128	-100
392880	74793	29.77	0.472604	-100
394890	74765	29.81	0.461396	-100
396126	74744	29.84	0.454427	-100
397443	74751	29.88	0.447827	-100
398208	74731	29.92	0.443345	-100
400313	74747	29.96	0.432996	-100
402183	74738	30	0.423213	-100
403095	74736	30.04	0.418524	-100
404123	74723	30.08	0.412957	-100
405380	74725	30.11	0.406657	-100
407207	74794	30.16	0.399345	-100
409025	74784	30.2	0.389956	-100
409937	74772	30.23	0.385071	-100
410236	74776	30.27	0.383689	-100
412036	74765	30.31	0.374429	-100
413514	74785	30.35	0.36765	-100
414523	74769	30.39	0.362226	-100
415339	74773	30.43	0.358312	-100
416305	74784	30.47	0.353859	-100
417617	74762	30.51	0.346819	-100
419308	74769	30.55	0.338742	-100
420132	74785	30.59	0.335163	-100
420183	74784	30.63	0.334887	-100
421526	74820	30.67	0.329343	-100
423090	74793	30.7	0.321027	-100
423623	74744	30.74	0.31711	-100
424603	74737	30.78	0.31219	-100
