Sample	 Source	 Position	 Fraction Number	 Absorbance
443824	74680	16.65	-100	0.22004
444439	74666	16.69	-100	0.216824
445287	74701	16.73	-100	0.213882
445676	74699	16.77	-100	0.212041
445977	74686	16.81	-100	0.210303
447135	74739	16.85	-100	0.206449
447644	74710	16.89	-100	0.203327
448258	74698	16.93	-100	0.200194
448547	74687	16.97	-100	0.198573
449171	74722	17	-100	0.196688
449095	74700	17.04	-100	0.196431
450223	74678	17.08	-100	0.190696
451014	74710	17.12	-100	0.187981
451799	74779	17.16	-100	0.186311
452332	74775	17.2	-100	0.183789
452994	74749	17.24	-100	0.180086
452928	74664	17.28	-100	0.178056
453198	74670	17.32	-100	0.177001
453431	74662	17.36	-100	0.17573
454200	74668	17.4	-100	0.172427
454790	74685	17.44	-100	0.170237
454952	74676	17.47	-100	0.169261
455341	74669	17.51	-100	0.167321
455895	74690	17.55	-100	0.165408
456083	74645	17.59	-100	0.163332
456506	74671	17.63	-100	0.162147
456788	74682	17.67	-100	0.161185
456955	74649	17.71	-100	0.159533
457117	74662	17.75	-100	0.159164
457306	74659	17.79	-100	0.158236
457806	74650	17.83	-100	0.155753
458127	74667	17.87	-100	0.154785
458262	74647	17.91	-100	0.153634
458186	74674	17.94	-100	0.154713
458690	74689	17.98	-100	0.152875
459190	74687	18.02	-100	0.150591
459333	74676	18.06	-100	0.149652
459574	74680	18.1	-100	0.148689
459544	74660	18.14	-100	0.148274
460149	74693	18.18	-100	0.146487
459905	74649	18.22	-100	0.146366
460321	74712	18.26	-100	0.146242
460209	74719	18.3	-100	0.146932
460456	74694	18.33	-100	0.145149
460669	74732	18.38	-100	0.145244
460900	74708	18.42	-100	0.143561
461085	74728	18.45	-100	0.143287
460925	74730	18.49	-100	0.144052
460920	74707	18.53	-100	0.143445
461051	74719	18.57	-100	0.143192
460601	74657	18.61	-100	0.143491
460777	74677	18.65	-100	0.143258
460489	74676	18.69	-100	0.14451
460561	74688	18.73	-100	0.144518
460342	74645	18.77	-100	0.144313
460346	74690	18.81	-100	0.145529
460500	74694	18.85	-100	0.144954
460194	74718	18.88	-100	0.146971
460087	74723	18.92	-100	0.147584
459647	74690	18.96	-100	0.148638
459335	74684	19	-100	0.149863
459363	74706	19.04	-100	0.150341
458886	74723	19.08	-100	0.152932
458371	74690	19.12	-100	0.154326
457875	74711	19.16	-100	0.157116
457560	74742	19.2	-100	0.159373
457010	74725	19.24	-100	0.161369
456118	74738	19.28	-100	0.165722
455287	74723	19.31	-100	0.169043
454446	74708	19.35	-100	0.172415
453292	74674	19.39	-100	0.176686
452521	74691	19.43	-100	0.180635
451406	74690	19.47	-100	0.185655
450579	74719	19.51	-100	0.190202
449577	74712	19.55	-100	0.194565
448547	74713	19.59	3	0.199286
447129	74726	19.63	-100	0.20612
445795	74723	19.67	-100	0.212152
444511	74677	19.71	-100	0.216794
443376	74673	19.74	-100	0.221915
442273	74677	19.79	-100	0.227121
441010	74721	19.83	-100	0.234178
440062	74729	19.86	-100	0.2388
438689	74687	19.9	-100	0.244044
437762	74717	19.94	-100	0.249194
436547	74708	19.98	-100	0.254634
435296	74719	20.02	-100	0.260807
